data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
2420012,566,NIG6849,6849,30-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Gombe,Funakaye,,Bajoga,10.8509,11.4313,1,Daily Trust (Abuja),Subnational,A group of three suicide bombers detonate their vehicle at a security checkpoint killing only themselves. Military injuries not known.,3,1546559439,NGA
2419097,120,CAO350,350,28-Dec-14,2014,1,Battle-Non-state actor overtakes territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mora,Mora,11.0485,14.1476,1,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked the village of Achigchia, forcing the Cameroonian military to retreat. They also took the nearby military base.",0,1546559438,CMR
2419098,120,CAO351,351,28-Dec-14,2014,1,Battle-Government regains territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mora,Mora,11.0485,14.1476,1,Xinhua News; BBC News - Africa; Radio France Internationale,International,"The Cameroonian military, including elements of the Rapid Intervention Battalion, took back the military base near Ashigashiya with the help of air strikes. 8 soldiers have been reported missing since they took back the camp.",0,1546559438,CMR
2419115,120,CAO342,342,26-Dec-14,2014,1,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Kolofata,11.1621,14.0115,2,Africa Info,Regional,"Africa Info reported that the President of the Cameroon Natonal Assembly went under heavy guard to the Safari locality near Kolofata, triggering an attempted hostage taking by Boko Haram which evolved into a significant offensive. The elite Rapid Intervention Battalion fought off the Boko Haram fighters. Specific casualties were not reported.",0,1546559438,CMR
2419116,120,CAO343,343,26-Dec-14,2014,2,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Amchide,11.2426,14.1372,1,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked a number of Cameroonian villages starting on Dec.26 and continuing over the weekend, including: Amchide, Limani, Makari, Chogori, Doble, and Waza. The Cameroonian military opposed them, including the air force of Rapid Intervention Battalion. 41 Boko Haram fighters were killed in total, but they took their worst losses in Chogori at 34 killed. 1 Cameroonian soldier was killed on the Waza-Mora highway and 3 air force pilots were seriously injured.",2,1546559438,CMR
2419117,120,CAO344,344,26-Dec-14,2014,2,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Mora,Double-Alagarno,11.1742,14.2452,1,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked a number of Cameroonian villages starting on Dec.26 and continuing over the weekend, including: Amchide, Limani, Makari, Chogori, Doble, and Waza. The Cameroonian military opposed them, including the air force of Rapid Intervention Battalion. 41 Boko Haram fighters were killed in total, but they took their worst losses in Chogori at 34 killed. 1 Cameroonian soldier was killed on the Waza-Mora highway and 3 air force pilots were seriously injured.",1,1546559438,CMR
2419118,120,CAO345,345,26-Dec-14,2014,2,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Logone-Et-Chari,Makary,Gori,12.5112,14.6273,2,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked a number of Cameroonian villages starting on Dec.26 and continuing over the weekend, including: Amchide, Limani, Makari, Chogori, Doble, and Waza. The Cameroonian military opposed them, including the air force of Rapid Intervention Battalion. 41 Boko Haram fighters were killed in total, but they took their worst losses in Chogori at 34 killed. 1 Cameroonian soldier was killed on the Waza-Mora highway and 3 air force pilots were seriously injured.",34,1546559438,CMR
2419119,120,CAO346,346,26-Dec-14,2014,2,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Limani,11.2331,14.1711,1,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked a number of Cameroonian villages starting on Dec.26 and continuing over the weekend, including: Amchide, Limani, Makari, Chogori, Doble, and Waza. The Cameroonian military opposed them, including the air force of Rapid Intervention Battalion. 41 Boko Haram fighters were killed in total, but they took their worst losses in Chogori at 34 killed. 1 Cameroonian soldier was killed on the Waza-Mora highway and 3 air force pilots were seriously injured.",2,1546559438,CMR
2419120,120,CAO347,347,26-Dec-14,2014,2,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Logone-Et-Chari,Makary,Makari,12.5628,14.4442,1,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked a number of Cameroonian villages starting on Dec.26 and continuing over the weekend, including: Amchide, Limani, Makari, Chogori, Doble, and Waza. The Cameroonian military opposed them, including the air force of Rapid Intervention Battalion. 41 Boko Haram fighters were killed in total, but they took their worst losses in Chogori at 34 killed. 1 Cameroonian soldier was killed on the Waza-Mora highway and 3 air force pilots were seriously injured.",1,1546559438,CMR
2419121,120,CAO348,348,26-Dec-14,2014,2,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-) Rapid Intervention Battalion,,1,12,Middle Africa,Cameroon,Extreme-Nord,Logone-Et-Chari,Waza,Waza,11.4043,14.5661,1,Xinhua News; BBC News - Africa,Regional-international,"Boko Haram attacked a number of Cameroonian villages starting on Dec.26 and continuing over the weekend, including: Amchide, Limani, Makari, Chogori, Doble, and Waza. The Cameroonian military opposed them, including the air force of Rapid Intervention Battalion. 41 Boko Haram fighters were killed in total, but they took their worst losses in Chogori at 34 killed. 1 Cameroonian soldier was killed on the Waza-Mora highway and 3 air force pilots were seriously injured.",1,1546559438,CMR
2418774,566,NIG6830,6830,20-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Yobe,Gujba,Goniri,Goniri,11.4833,12.3144,1,Daily Trust (Abuja),Subnational,"Military forces launch an infantry offensive on Boko Haram held Goniri town, which included an air strike. Causalities not known.",0,1546559438,NGA
2415724,566,NIG6819,6819,19-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Borno,Damboa,Damboa Central,Damboa,11.156,12.7576,1,Vanguard (Lagos),Subnational,"Disguised as headers, Boko Haram launches an assault on a Damboa mosque only to be pushed back by military forces in the area. A reported 80 Boko Haram dead, two soldiers. Causality numbers vary from source to source, some reporting as numbers as high as 115.",82,1546559435,NGA
2424110,566,NIG6816,6816,19-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Yobe,Fune,Damagum A,Damagum,11.6774,11.3345,1,The Sun (Nigeria),National,"Attempts by Boko Haram insurgents to capture Damagun was resisted by security forces, leading to a fierce battle that lasted well over two hours. Witnesses said the insurgents threw many explosive devices into Damagun police station and shot sporadically into a military base. No causalities reported.",0,1546559443,NGA
2401999,566,NIG6818,6818,19-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Borno,Guzamala,,Bulabulin,12.6611,13.2795,1,Vanguard (Lagos),Subnational,"Boko Haram attacks Bulabulin on 16/12, battles with military forces before being repelled after several days (17/12 - 19/12). An estimated 75 members of Boko Haram killed and two soldiers in the battle. Bulabulin lies near Gumsuri, the cite of a recent mass Boko Haram abduction.",27,1546559421,NGA
2402010,566,NIG6813,6813,18-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Borno,Guzamala,,Bulabulin,12.6611,13.2795,1,Vanguard (Lagos),Subnational,"Boko Haram attacks Bulabulin on 16/12, battles with military forces before being repelled after several days (17/12 - 19/12). An estimated 75 members of Boko Haram killed and two soldiers in the battle. Bulabulin lies near Gumsuri, the cite of a recent mass Boko Haram abduction.",25,1546559421,NGA
2402012,566,NIG6809,6809,17-Dec-14,2014,1,Battle-No change of territory,Military Forces of Nigeria (1999-2015),,1,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,12,Western Africa,Nigeria,Borno,Guzamala,,Bulabulin,12.6611,13.2795,1,Vanguard (Lagos),Subnational,"Boko Haram attacks Bulabulin on 16/12, battles with military forces before being repelled after several days (17/12 - 19/12). An estimated 75 members of Boko Haram killed and two soldiers in the battle. Bulabulin lies near Gumsuri, the cite of a recent mass Boko Haram abduction.",25,1546559421,NGA
2419240,120,CAO339,339,17-Dec-14,2014,1,Battle-No change of territory,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,Military Forces of Cameroon (1982-),,1,12,Middle Africa,Cameroon,Extreme-Nord,Mayo-Sava,Kolofata,Amchide,11.2426,14.1372,1,Radio France Internationale,International,"The Cameroonian military has reported that 116 Boko Haram fighters were killed during an hour of fighting around Amchide. A Cameroonian soldier was also killed, and another is missing. They said this was a particularly intense attack involving almost 1000 Boko Haram fighters.",117,1546559438,CMR
2420271,566,NIG6782,6782,13-Dec-14,2014,1,Battle-No change of territory,Unidentified Armed Group (Nigeria),,3,Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad,,2,23,Western Africa,Nigeria,Borno,Magumeri,,Gajigana,12.1943,13.1017,1,Associated Press,International,"Boko Haram continues a siege on Gajiganna over several days, battling either military forces or local militia as their attempts at taking over the town had been unsuccessful as of 13/12. Causalities not known between the dates of 11/12 - 13/12.",0,1546559439,NGA
